,title,year,kind,genre,rating,runtime
71,Heartbeat,1993,tv movie,"['Comedy', 'Drama', 'Romance']",5.7,30
72,In the Realm of the Senses,1976,movie,"['Drama', 'Romance']",6.6,134
73,Pan Tadeusz: The Last Foray in Lithuania,1999,movie,"['Drama', 'History', 'Romance', 'War']",6.0,169
74,Wings of Desire,1987,movie,"['Drama', 'Fantasy', 'Romance']",8.0,60
75,"Ebirah, Horror of the Deep",1966,movie,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",5.5,61
76,My Favorite Martian,1999,movie,"['Comedy', 'Family', 'Sci-Fi']",5.1,154
77,Millennium Actress,2001,movie,"['Animation', 'Drama', 'Fantasy', 'Romance']",7.9,51
78,Love Can Seriously Damage Your Health,1996,movie,"['Comedy', 'Romance']",6.5,88
79,Bean,1997,movie,"['Adventure', 'Comedy', 'Family']",6.5,116
80,Just for Kicks,2003,movie,"['Adventure', 'Comedy', 'Family', 'Sport']",3.1,84
81,Rabbit-Proof Fence,2002,movie,"['Biography', 'Drama']",7.4,8
82,The Matrix Revolutions,2003,movie,"['Action', 'Sci-Fi']",6.8,180
83,Princess Mononoke,1997,movie,"['Animation', 'Action', 'Adventure', 'Fantasy']",8.4,108
84,Building the Great Pyramid,2002,tv movie,['Documentary'],7.1,97
85,His Secret Life,2001,movie,"['Drama', 'Romance']",7.3,143
86,The Passion of Ayn Rand,1999,tv movie,"['Biography', 'Drama', 'Romance']",5.9,70
87,Mission Kashmir,2000,movie,"['Action', 'Drama', 'Thriller']",6.7,102
88,Nature Unleashed: Volcano,2005,video movie,"['Action', 'Drama', 'Thriller']",3.5,50
89,Butterfly Kiss,1995,movie,"['Comedy', 'Drama', 'Romance', 'Thriller']",6.3,118
90,The Prime of Miss Jean Brodie,1969,movie,"['Comedy', 'Drama', 'Romance']",7.6,60
91,Young Einstein,1988,movie,"['Comedy', 'History']",5.2,96
92,A Crime of Passion,2003,tv movie,"['Crime', 'Drama', 'Mystery', 'Thriller']",5.1,83
93,Rangeela,1995,movie,"['Comedy', 'Drama', 'Musical', 'Romance']",7.5,97
94,New Waterford Girl,1999,movie,['Comedy'],6.9,105
95,High and Low,1963,movie,"['Crime', 'Drama', 'Mystery', 'Thriller']",8.4,40
96,Bloody Mallory,2002,movie,"['Action', 'Comedy', 'Horror']",4.5,98
97,Winners & Sinners,1983,movie,"['Action', 'Comedy', 'Crime']",6.7,6
98,The Autobiography of Miss Jane Pittman,1974,tv movie,"['Drama', 'History']",7.9,115
99,Black Jack: The Movie,1996,movie,"['Animation', 'Drama', 'Thriller']",6.8,98
100,"Jo Jo Dancer, Your Life Is Calling",1986,movie,"['Biography', 'Comedy', 'Drama']",6.4,88
101,Dead Man's Curve,1998,movie,"['Drama', 'Mystery', 'Romance', 'Thriller']",5.9,32
102,Shanghai Triad,1995,movie,"['Crime', 'Drama', 'History', 'Romance', 'Thriller']",7.1,95
103,The Scarlet and the Black,1983,tv movie,"['Drama', 'History', 'War']",7.6,89
104,House of Whipcord,1974,movie,['Horror'],5.9,240
105,I Dood It,1943,movie,"['Romance', 'Comedy', 'Musical', 'Thriller']",6.3,110
106,Tokyo Raiders,2000,movie,"['Action', 'Comedy', 'Drama', 'Romance']",5.8,30
107,Jimmy Neutron: Attack of the Twonkies,2005,tv movie,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Music', 'Sci-Fi']",6.8,360
108,Torture Garden,1967,movie,"['Fantasy', 'Horror']",6.1,93
109,Bad Boy Bubby,1993,movie,"['Comedy', 'Crime', 'Drama']",7.4,103
110,My Mother Likes Women,2002,movie,"['Comedy', 'Drama']",6.2,24
111,The Underground Comedy Movie,1999,movie,['Comedy'],2.0,88
112,Beware of a Holy Whore,1971,movie,"['Comedy', 'Drama']",6.8,102
113,Rescue Heroes: The Movie,2003,movie,"['Animation', 'Action', 'Family']",6.0,95
114,Baazigar,1993,movie,"['Crime', 'Drama', 'Musical', 'Romance', 'Thriller']",7.7,160
115,Air Force One,2002,tv movie,"['Documentary', 'History']",7.0,109
116,Cheyenne Warrior,1994,tv movie,"['Action', 'Western']",6.6,90
117,Dear Frankie,2004,movie,"['Drama', 'Romance']",7.7,30
118,Who Is Cletis Tout?,2001,movie,"['Comedy', 'Crime']",6.4,100
119,The Winter People,2003,movie,"['Drama', 'Sci-Fi', 'Short', 'Thriller']",7.2,107
120,"He Said, She Said",1991,movie,"['Comedy', 'Drama', 'Romance']",5.7,60
121,In the Mood for Love,2000,movie,"['Drama', 'Romance']",8.1,63
122,A Blonde in Love,1965,movie,"['Comedy', 'Romance', 'Drama']",7.6,80
123,Better Than Sex,2000,movie,"['Comedy', 'Drama', 'Romance']",6.4,101
124,The Last Outpost,1951,movie,['Western'],5.9,112
125,Visitors of the Night,1995,tv movie,"['Sci-Fi', 'Thriller']",5.0,90
126,Numbered Days,1994,movie,"['Crime', 'Drama', 'Thriller']",6.6,105
127,Peter Jennings Reporting: The Kennedy Assassination - Beyond Conspiracy,2003,tv movie,"['Documentary', 'History']",6.8,44
128,The Hand that Rocks the Cradle,1992,movie,"['Drama', 'Thriller']",6.6,98
129,When Dinosaurs Roamed America,2001,tv movie,"['Animation', 'Documentary']",7.6,91
130,Coma,1978,movie,"['Drama', 'Horror', 'Mystery', 'Thriller']",6.9,94
131,For the Moment,1993,movie,"['Romance', 'War', 'Drama']",6.0,90
132,Cause célèbre,1987,tv movie,"['Crime', 'Drama']",6.9,105
133,Whisper Kill,1988,tv movie,"['Drama', 'Thriller']",4.9,100
134,44 Minutes: The North Hollywood Shoot-Out,2003,tv movie,"['Action', 'Crime', 'Drama']",6.3,73
135,Royal Deceit,1994,movie,"['Adventure', 'Drama']",5.5,22
136,Man in a Cocked Hat,1959,movie,['Comedy'],6.3,112
137,Don't Tell Mom the Babysitter's Dead,1991,movie,['Comedy'],6.3,56
138,Bagdad Cafe,1987,movie,"['Comedy', 'Drama']",7.4,89
139,Indochine,1992,movie,"['Drama', 'Romance', 'War']",7.1,112
140,A Slipping-Down Life,1999,movie,"['Drama', 'Music', 'Romance']",6.1,60
141,Sherlock,2002,tv movie,"['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']",5.9,100
142,Widows' Peak,1994,movie,"['Comedy', 'Crime', 'Mystery', 'Thriller']",6.7,81
143,Hot War,1998,movie,['Thriller'],5.5,88
144,Fantasy Mission Force,1983,movie,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller', 'War']",4.7,82
145,The Librarian: Quest for the Spear,2004,tv movie,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance', 'Thriller']",6.3,92
146,Halloween,1978,movie,"['Horror', 'Thriller']",7.7,171
147,15 Minutes,2001,movie,"['Action', 'Crime', 'Drama', 'Thriller']",6.1,778
148,The Phantom,1996,movie,"['Action', 'Adventure', 'Comedy', 'Fantasy']",5.0,207
