,title,year,kind,genre,rating,runtime
832,Tom Jones,1963,movie,"['Adventure', 'Comedy', 'History']",6.5,106
833,In the Mirror of Maya Deren,2001,movie,"['Documentary', 'Biography']",7.3,105
834,Dragon Ball Z: Bardock - The Father of Goku,1990,tv movie,"['Animation', 'Drama', 'Fantasy', 'Sci-Fi']",7.9,90
835,Mr. Klein,1976,movie,"['Crime', 'Drama', 'Mystery', 'Thriller', 'War']",7.6,120
836,L'Eclisse,1962,movie,"['Drama', 'Romance']",7.9,200
837,Urusei Yatsura 2: Beautiful Dreamer,1984,movie,"['Animation', 'Adventure', 'Comedy', 'Fantasy', 'Mystery', 'Sci-Fi', 'Thriller']",7.5,120
838,Mi vida loca,1993,movie,"['Crime', 'Drama']",6.5,94
839,Love Potion No. 9,1992,movie,"['Comedy', 'Fantasy', 'Romance']",5.7,92
840,Between Strangers,2002,movie,['Drama'],6.0,93
841,Transfixed,2001,movie,['Drama'],5.4,90
842,The Son of the Sheik,1926,movie,"['Adventure', 'Drama', 'Romance']",6.6,168
843,Lone Wolf and Cub: Baby Cart in the Land of Demons,1973,movie,"['Action', 'Crime', 'Drama', 'Thriller']",7.6,140
844,Ginger Snaps Back: The Beginning,2004,movie,"['Drama', 'Horror']",5.9,95
845,Raining Stones,1993,movie,"['Drama', 'Comedy']",7.3,140
846,Freeze Me,2000,movie,"['Drama', 'Thriller']",6.2,101
847,Cardcaptor Sakura: The Sealed Card,2000,movie,"['Animation', 'Adventure', 'Comedy', 'Fantasy', 'Romance']",7.9,120
848,Tenchi the Movie - Tenchi Muyo in Love,1996,movie,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Mystery', 'Romance', 'Sci-Fi', 'Thriller']",7.2,57
849,Desperate Souls,2005,video movie,"['Action', 'Horror']",2.3,186
850,Swept from the Sea,1997,movie,"['Drama', 'Mystery', 'Romance']",6.8,97
851,Night and Fog,1956,movie,"['Documentary', 'Short', 'History', 'War']",8.6,87
852,Jekyll & Hyde: The Musical,2001,tv movie,"['Horror', 'Musical', 'Sci-Fi']",6.5,120
853,Shadowlands,1993,movie,"['Biography', 'Drama', 'Romance']",7.3,96
854,Animal Attraction,2004,movie,"['Comedy', 'Short']",3.0,86
855,The Motorcycle Diaries,2004,movie,"['Adventure', 'Biography', 'Drama']",7.8,87
856,The Lottery,1996,tv movie,"['Drama', 'Horror', 'Thriller']",6.0,46
857,The Russians Are Coming the Russians Are Coming,1966,movie,"['Comedy', 'War']",7.0,157
858,Live Flesh,1997,movie,['Drama'],7.4,98
859,"Aguirre, the Wrath of God",1972,movie,"['Action', 'Adventure', 'Biography', 'Drama', 'History']",7.9,52
860,"Comrades, Almost a Love Story",1996,movie,"['Drama', 'Romance']",8.1,104
861,Love's a Bitch,2000,movie,"['Drama', 'Thriller']",8.1,88
862,Career Girls,1997,movie,"['Comedy', 'Drama']",7.1,98
863,Storm Over Asia,1928,movie,"['Drama', 'War']",7.1,97
864,The Powerpuff Girls: 'Twas the Fight Before Christmas,2003,video movie,"['Animation', 'Short', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",7.2,154
865,101 Dalmatians 2: Patch's London Adventure,2002,video movie,"['Animation', 'Adventure', 'Comedy', 'Family', 'Musical']",5.8,99
866,White Sun of the Desert,1970,movie,"['Action', 'Adventure', 'Comedy', 'Drama', 'Romance', 'War', 'Western']",7.8,31
867,The Divorce,2003,movie,"['Comedy', 'Drama', 'Romance']",4.9,99
868,Cosmic Voyage,1996,movie,"['Documentary', 'Short']",7.6,109
869,Crocodile Dundee II,1988,movie,"['Action', 'Adventure', 'Comedy']",5.6,60
870,Blind Justice,1994,tv movie,"['Action', 'Western']",5.8,90
871,The House That Dripped Blood,1971,movie,['Horror'],6.6,82
872,Koi... Mil Gaya,2003,movie,"['Action', 'Drama', 'Romance', 'Sci-Fi']",7.1,86
873,S21: The Khmer Rouge Killing Machine,2003,movie,"['Documentary', 'History', 'War']",7.3,89
874,Freeze Frame,2004,movie,"['Crime', 'Drama', 'Mystery', 'Thriller']",6.4,22
875,High Risk,1995,movie,"['Action', 'Comedy', 'Crime', 'Thriller']",6.1,90
876,Deep Dark Secrets,1987,tv movie,"['Drama', 'Romance', 'Thriller']",5.1,122
877,The Princess & the Barrio Boy,2000,tv movie,['Romance'],5.4,24
878,Die! Die! My Darling!,1965,movie,"['Horror', 'Thriller']",6.3,60
879,The Dead Hate the Living!,2000,video movie,"['Horror', 'Comedy']",4.3,23
880,Wild America,1997,movie,"['Action', 'Adventure', 'Comedy', 'Family']",6.4,96
881,Rampo,1994,movie,"['Drama', 'Mystery']",6.7,60
882,The Private Navy of Sgt. O'Farrell,1968,movie,"['Comedy', 'War']",5.9,30
883,Police Academy 5: Assignment: Miami Beach,1988,movie,"['Comedy', 'Crime']",4.6,145
884,Secrets of the Heart,1997,movie,['Drama'],7.1,90
885,Subspecies 4: Bloodstorm,1998,video movie,"['Fantasy', 'Horror']",5.4,67
886,Detention,1998,movie,['Drama'],6.5,111
887,Thriller: A Cruel Picture,1973,movie,"['Crime', 'Drama', 'Thriller']",6.4,106
888,Local Hero,1983,movie,"['Comedy', 'Drama']",7.4,22
889,Zanjeer,1973,movie,"['Action', 'Crime', 'Drama', 'Thriller']",7.6,78
890,The Girl Rosemarie,1996,tv movie,"['Biography', 'Crime', 'Drama']",6.3,85
891,Victim of Love,1991,tv movie,"['Mystery', 'Romance', 'Thriller']",5.4,89
892,Horror of Dracula,1958,movie,"['Drama', 'Horror']",7.3,26
893,How to Be a Player,1997,movie,['Comedy'],5.4,93
894,Chunhyang,2000,movie,"['Drama', 'Musical', 'Romance']",7.1,83
895,Gorky 1: The Childhood of Maxim Gorky,1938,movie,"['Biography', 'Drama']",7.3,110
896,The Steamroller and the Violin,1961,movie,['Drama'],7.4,192
897,Shadow Builder,1998,movie,"['Action', 'Horror', 'Thriller']",4.9,90
898,Paris Was a Woman,1996,movie,['Documentary'],7.3,147
899,Max Ernst: Mein Vagabundieren - Meine Unruhe,1991,movie,"['Documentary', 'Biography']",7.8,125
900,What Girls Learn,2001,tv movie,['Drama'],5.8,102
901,Under the Roofs of Paris,1930,movie,"['Comedy', 'Drama', 'Musical', 'Romance']",7.1,77
902,Santa Claus Is Comin' to Town,1970,tv movie,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",7.7,72
903,Harrison's Flowers,2000,movie,"['Drama', 'Romance', 'War']",7.1,113
904,2LDK,2003,movie,"['Drama', 'Horror', 'Thriller']",6.9,126
905,Hum Aapke Dil Mein Rehte Hain,1999,movie,"['Drama', 'Romance']",5.7,98
906,She's Having a Baby,1988,movie,"['Comedy', 'Drama', 'Romance']",5.9,92
907,"301, 302",1995,movie,"['Horror', 'Mystery', 'Thriller']",6.5,195
908,East/West,1999,movie,"['Adventure', 'Drama', 'History', 'Romance']",7.4,81
909,Burial Ground: The Nights of Terror,1981,movie,['Horror'],5.7,60
910,The Bone Snatcher,2003,movie,"['Horror', 'Mystery', 'Sci-Fi', 'Thriller']",4.4,23
911,Mickey's House of Villains,2001,video movie,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Horror']",6.6,105
912,Darna Mana Hai,2003,movie,['Horror'],6.3,180
913,Spiders II: Breeding Ground,2001,movie,"['Action', 'Horror', 'Sci-Fi', 'Thriller']",3.1,120
914,Code Name: Jaguar,1965,movie,"['Action', 'Adventure', 'Thriller']",5.7,92
915,From Dusk Till Dawn 2: Texas Blood Money,1999,video movie,"['Crime', 'Horror', 'Thriller']",4.1,167
916,Salaam Bombay!,1988,movie,"['Crime', 'Drama']",8.0,150
917,Frankie & Hazel,2000,tv movie,"['Comedy', 'Drama', 'Family', 'Sport']",5.8,95
918,The Designated Mourner,1997,movie,['Drama'],6.1,33
919,Hot Dog... The Movie,1983,movie,"['Comedy', 'Romance', 'Sport']",5.0,100
920,And I Hate You So,2000,movie,"['Comedy', 'Romance']",6.2,103
921,What to Do in Case of Fire,2001,movie,"['Action', 'Comedy', 'Drama', 'Romance', 'Thriller']",6.8,120
922,Half-Caste,2004,video movie,"['Horror', 'Thriller']",2.2,75
923,The Hidden Wars of Desert Storm,2001,movie,['Documentary'],7.8,60
924,The Unknown Marx Brothers,1993,tv movie,"['Comedy', 'Documentary']",7.5,105
925,The Lost Prince,2003,tv movie,"['Biography', 'Drama']",7.7,96
926,Hum Ho Gaye Aap Ke,2001,movie,"['Drama', 'Musical', 'Romance']",4.2,40
927,The Tuskegee Airmen,1995,tv movie,"['Drama', 'History', 'War']",7.2,106
928,Timerider: The Adventure of Lyle Swann,1982,movie,"['Action', 'Adventure', 'Sci-Fi', 'Western']",5.4,102
929,Wish Upon a Star,1996,tv movie,"['Comedy', 'Family', 'Fantasy']",6.7,100
930,Heroes Shed No Tears,1984,movie,"['Action', 'Drama', 'War']",6.3,90
931,As Tears Go By,1988,movie,"['Crime', 'Drama', 'Romance']",7.0,86
932,Mistress,1976,movie,"['Drama', 'Romance']",6.6,85
933,Revenge of the Musketeers,1994,movie,"['Action', 'Adventure', 'Comedy']",5.8,178
934,The Desperate Trail,1994,video movie,"['Action', 'Crime', 'Drama', 'Thriller', 'Western']",6.0,87
935,Cross of Iron,1977,movie,"['Drama', 'War']",7.5,130
936,Devils on the Doorstep,2000,movie,"['Comedy', 'Drama', 'War']",8.2,90
937,Harlan County War,2000,tv movie,['Drama'],6.5,20
938,Battleship Potemkin,1925,movie,"['Drama', 'History', 'Thriller', 'War']",8.0,123
939,Advise & Consent,1962,movie,"['Drama', 'Thriller']",7.7,115
940,The Passion of the Christ,2004,movie,['Drama'],7.2,87
941,Double Jeopardy,1999,movie,"['Crime', 'Drama', 'Mystery', 'Thriller']",6.5,166
942,Miracle in the Woods,1997,tv movie,['Drama'],6.6,192
943,The Truth About Charlie,2002,movie,"['Mystery', 'Thriller']",4.8,34
944,Air Bud: Spikes Back,2003,video movie,"['Comedy', 'Family', 'Sport']",4.1,106
945,Gregory's Girl,1980,movie,"['Comedy', 'Drama', 'Romance']",7.1,153
946,Horror Express,1972,movie,"['Adventure', 'Horror', 'Sci-Fi', 'Thriller']",6.5,53
947,Suzhou River,2000,movie,"['Drama', 'Romance']",7.4,238
948,Charlie Chan in the Secret Service,1944,movie,['Mystery'],6.4,137
949,I Could Go on Singing,1963,movie,"['Drama', 'Musical']",7.0,83
950,A Girl Thing,2001,tv movie,"['Comedy', 'Drama', 'Romance']",6.2,78
951,Life Is to Whistle,1998,movie,"['Comedy', 'Drama', 'Music']",6.6,45
952,City of Glass,1998,movie,"['History', 'Romance']",6.8,141
953,On Guard,1997,movie,"['Drama', 'Adventure']",7.0,81
954,Wuthering Heights,1992,movie,"['Drama', 'History', 'Romance']",6.8,54
955,Jungle Holocaust,1977,movie,"['Adventure', 'Horror']",6.0,75
956,Owning Mahowny,2003,movie,"['Crime', 'Drama', 'Thriller']",7.1,60
957,I've Been Waiting for You,1998,tv movie,"['Horror', 'Thriller']",5.4,112
958,Hazaaron Khwaishein Aisi,2003,movie,['Drama'],7.9,60
959,Longitude,2000,tv movie,"['Drama', 'History']",7.9,86
960,Bowling for Columbine,2002,movie,"['Documentary', 'Crime', 'Drama']",7.9,135
961,Cobra Verde,1987,movie,"['Adventure', 'Drama']",7.0,133
962,Takedown,2000,movie,"['Biography', 'Crime', 'Drama', 'Thriller']",6.3,105
963,"Don Juan, or If Don Juan Were a Woman",1973,movie,['Drama'],5.0,170
964,The Blue Kite,1993,movie,['Drama'],7.6,54
965,Ring 2,1999,movie,"['Horror', 'Mystery', 'Sci-Fi']",5.9,92
966,Druids,2001,movie,"['Adventure', 'Biography', 'Drama', 'History', 'War']",2.7,84
967,Hey Ram,2000,movie,"['Crime', 'Drama', 'History']",7.9,360
968,The Fear: Resurrection,1999,movie,['Horror'],3.1,139
969,Crossfire,1947,movie,"['Crime', 'Drama', 'Film-Noir', 'Mystery']",7.3,97
970,Shanghai Grand,1996,movie,"['Action', 'Crime', 'Thriller']",6.6,104
971,Happy Birthday to Me,1981,movie,"['Horror', 'Mystery', 'Thriller']",6.1,117
972,Hatchet for the Honeymoon,1970,movie,"['Horror', 'Mystery', 'Thriller']",6.4,95
973,Mari-Cookie and the Killer Tarantula,1998,video movie,"['Comedy', 'Horror']",3.8,81
974,City Hunter: .357 Magnum,1989,movie,"['Animation', 'Action', 'Comedy', 'Mystery']",7.1,82
975,Nothin' 2 Lose,2000,video movie,"['Comedy', 'Romance']",5.4,44
976,Pelle the Conqueror,1987,movie,['Drama'],7.8,360
977,10 Years of Thomas & Friends,1999,video movie,['Family'],8.5,172
978,Little Shop of Horrors,1986,movie,"['Comedy', 'Horror', 'Musical', 'Romance', 'Sci-Fi']",7.0,102
979,Stroszek,1977,movie,"['Comedy', 'Drama']",7.8,106
980,Me Myself I,1999,movie,"['Comedy', 'Romance']",6.6,87
981,Godzilla Against MechaGodzilla,2002,movie,"['Action', 'Sci-Fi', 'Thriller']",6.7,97
982,Por si no te vuelvo a ver,1997,movie,['Comedy'],7.1,51
983,Kermit's Swamp Years,2002,tv movie,"['Adventure', 'Comedy', 'Family', 'Fantasy']",5.5,53
984,The Star of Christmas,2002,video movie,"['Animation', 'Comedy', 'Family', 'Fantasy', 'History', 'Horror', 'Musical', 'Romance']",7.1,80
985,Human Traffic,1999,movie,"['Comedy', 'Music']",7.1,74
986,Rose Hill,1997,tv movie,"['Family', 'Western']",6.4,99
987,The Five,1995,movie,"['Action', 'Drama', 'Crime']",6.8,88
988,Les Dames du Bois de Boulogne,1945,movie,"['Drama', 'Romance']",7.2,99
989,Open Hearts,2002,movie,"['Drama', 'Romance']",7.5,96
990,Young Gods,2003,movie,['Drama'],4.6,90
991,The Brylcreem Boys,1998,movie,"['Drama', 'Romance', 'War']",6.2,90
992,Out for a Kill,2003,video movie,"['Action', 'Crime', 'Thriller']",3.5,73
993,Bat*21,1988,movie,"['Drama', 'War']",6.5,82
994,The Cherokee Kid,1996,tv movie,"['Comedy', 'Western']",6.1,98
995,DEFCON-4,1985,movie,"['Action', 'Sci-Fi']",4.5,109
996,Shao Lin ying xiong zhi Feng Shi-Yu Hong Zhi-Guan,1994,movie,['Action'],5.2,292
997,Legend of the Wolf,1997,movie,"['Action', 'Drama']",5.7,81
998,Torso,1973,movie,"['Horror', 'Mystery', 'Thriller']",6.5,50
999,Aashiqui,1990,movie,"['Musical', 'Drama', 'Romance']",6.3,91
1000,Rennie's Landing,2001,movie,['Drama'],5.4,151
1001,Circle of Deceit,1981,movie,"['Drama', 'War']",7.1,55
1002,Hour of the Wolf,1968,movie,"['Drama', 'Horror']",7.6,91
1003,The Statement,2003,movie,"['Thriller', 'Drama']",6.2,100
1004,Mast,1999,movie,"['Comedy', 'Musical', 'Romance']",5.4,87
1005,The Whip and the Body,1963,movie,"['Horror', 'Romance']",6.8,99
1006,Pippi on the Run,1970,movie,"['Adventure', 'Comedy', 'Drama', 'Family']",6.9,90
1007,Into the Arms of Strangers: Stories of the Kindertransport,2000,movie,"['Documentary', 'History', 'War']",7.8,90
1008,The Rosa Parks Story,2002,tv movie,"['Biography', 'Drama']",7.3,30
1009,Sailor Moon SuperS: The Movie: Black Dream Hole,1995,movie,"['Animation', 'Action', 'Comedy', 'Fantasy', 'Romance']",7.5,15
1010,The Secret KGB UFO Files,1998,tv movie,['Documentary'],6.5,257
1011,Ralphie May: Just Correct,2004,movie,"['Documentary', 'Comedy']",7.4,39
1012,Blood and Black Lace,1964,movie,"['Horror', 'Mystery', 'Thriller']",7.2,62
1013,History of the World: Part I,1981,movie,"['Comedy', 'History', 'Musical']",6.9,86
1014,Clockmaker,1998,tv movie,"['Adventure', 'Sci-Fi']",3.3,95
1015,Double Suicide,1969,movie,['Drama'],7.7,44
1016,Kolya,1996,movie,"['Comedy', 'Drama', 'Music']",7.8,53
1017,Black Magic,1944,movie,['Mystery'],6.5,95
1018,Wide Sargasso Sea,1993,movie,"['Drama', 'Romance', 'Thriller']",5.7,114
1019,All the President's Men,1976,movie,"['Biography', 'Drama', 'History', 'Thriller']",8.0,103
1020,When Time Ran Out...,1980,movie,"['Action', 'Adventure', 'Drama', 'Thriller']",4.6,24
1021,Carnal Crimes,1991,video movie,['Thriller'],4.3,90
1022,Comfort and Joy,1984,movie,['Comedy'],6.7,108
1023,Vampirella,1996,video movie,"['Action', 'Fantasy', 'Horror', 'Sci-Fi']",3.5,60
1024,Strawberry & Chocolate,1993,movie,"['Comedy', 'Drama', 'Romance']",7.4,78
1025,Horrors of Spider Island,1960,movie,['Horror'],2.5,65
1026,Martial Art Master Wong Fei Hong,1992,movie,"['Action', 'Adventure']",6.1,167
1027,Ichi the Killer: Episode 0,2002,video movie,"['Animation', 'Action', 'Drama', 'Thriller']",5.7,88
1028,Tarzan & Jane,2002,video movie,"['Animation', 'Adventure', 'Family']",5.3,160
1029,Journey Into Amazing Caves,2001,movie,"['Documentary', 'Short']",6.9,98
1030,Central Station,1998,movie,['Drama'],8.0,375
1031,The Siege at Ruby Ridge,1996,tv movie,"['Drama', 'History']",6.3,91
1032,Apocalypse Now,1979,movie,"['Drama', 'Mystery', 'War']",8.4,30
1033,Sexmission,1984,movie,"['Adventure', 'Comedy', 'Sci-Fi']",7.7,102
1034,The Strangler's Wife,2002,video movie,['Thriller'],5.7,85
1035,Chariots of Fire,1981,movie,"['Biography', 'Drama', 'Sport']",7.2,113
1036,Crimson Gold,2003,movie,"['Crime', 'Drama', 'Thriller']",7.5,102
1037,Island of Greed,1997,movie,"['Action', 'Crime']",6.4,25
1038,The Warrior,2001,movie,"['Action', 'Drama', 'History', 'War']",7.1,84
1039,Memento Mori,1999,movie,"['Horror', 'Romance', 'Drama']",6.4,96
1040,Help!!!,2000,movie,['Comedy'],5.8,118
1041,Arzoo,1965,movie,"['Drama', 'Musical', 'Romance']",7.1,158
1042,Powwow Highway,1988,movie,['Drama'],7.2,86
1043,In the Realms of the Unreal,2004,movie,"['Documentary', 'Biography']",7.3,92
1044,Videodrome,1983,movie,"['Horror', 'Sci-Fi', 'Thriller']",7.2,98
1045,Me You Them,2000,movie,"['Comedy', 'Drama']",7.0,91
1046,Sexy and Dangerous,1996,movie,"['Action', 'Comedy', 'Crime']",5.2,173
1047,Gundam Wing: The Movie - Endless Waltz,1998,tv movie,"['Animation', 'Action', 'Drama', 'Sci-Fi']",7.8,90
1048,Question of Luck,1997,movie,"['Crime', 'Drama', 'Thriller']",6.2,103
1049,Trishul,1978,movie,"['Action', 'Drama', 'Musical', 'Romance']",7.7,160
1050,The Eruption of Mount St. Helens!,1980,movie,"['Documentary', 'Short']",7.0,92
1051,Cannibal Ferox,1981,movie,"['Adventure', 'Horror']",5.2,60
1052,Le Magnifique,1973,movie,"['Action', 'Comedy', 'Fantasy', 'Romance']",7.2,60
1053,Don Juan DeMarco,1994,movie,"['Comedy', 'Drama', 'Romance']",6.7,85
1054,Rock My World,2002,movie,"['Comedy', 'Drama', 'Music']",6.2,50
1055,Shaun of the Dead,2004,movie,"['Comedy', 'Horror']",7.9,90
1056,Kaena: The Prophecy,2003,movie,"['Animation', 'Adventure', 'Family', 'Fantasy', 'Sci-Fi']",6.0,91
1057,No Manners,2002,movie,['Comedy'],6.5,48
1058,In This House of Brede,1975,tv movie,['Drama'],8.0,125
1059,Jekyll and Hyde,1990,tv movie,"['Horror', 'Thriller']",6.2,60
1060,Dil Pe Mat Le Yaar!!,2000,movie,['Drama'],5.0,110
1061,Trauma,1993,movie,"['Horror', 'Mystery', 'Thriller']",5.9,73
1062,Kitchen Stories,2003,movie,"['Comedy', 'Drama']",7.3,124
1063,Felicidades,2000,movie,"['Comedy', 'Drama']",7.2,94
1064,Lady and the Tramp 2: Scamp's Adventure,2001,video movie,"['Animation', 'Adventure', 'Family', 'Musical', 'Romance']",5.9,45
1065,Living Free,1972,movie,"['Adventure', 'Drama', 'Family']",6.1,112
1066,Sebastiane,1976,movie,"['Drama', 'Romance']",6.1,76
1067,The Thorn Birds: The Missing Years,1996,tv movie,"['Drama', 'Romance']",6.4,189
1068,"Nikki, Wild Dog of the North",1961,movie,"['Adventure', 'Family']",6.8,97
1069,Survival Island,2002,movie,"['Horror', 'Thriller']",2.4,30
1070,Ram Teri Ganga Maili,1985,movie,"['Drama', 'Musical', 'Romance']",6.7,90
1071,Love in Sampan,1992,movie,"['Drama', 'Romance']",5.3,105
1072,Parineeta,2005,movie,"['Drama', 'Musical', 'Romance']",7.2,80
1073,Allyson Is Watching,1997,movie,['Drama'],4.9,78
1074,Tycoon: A New Russian,2002,movie,"['Crime', 'Drama']",6.7,89
1075,God of Gamblers,1989,movie,"['Action', 'Comedy', 'Drama']",7.3,95
1076,Bedrooms and Hallways,1998,movie,"['Comedy', 'Romance']",6.7,126
1077,"Pretty Village, Pretty Flame",1996,movie,"['Comedy', 'Drama', 'History', 'War']",8.7,88
1078,Vanished,1995,tv movie,"['Drama', 'Romance']",5.5,85
1079,A Chinese Odyssey: Part One - Pandora's Box,1995,movie,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy']",7.7,111
1080,The Battle of Austerlitz,1960,movie,"['Drama', 'History', 'War']",6.3,55
1081,Aetbaar,2004,movie,"['Action', 'Drama', 'Musical', 'Thriller']",4.6,96
1082,Satan's Brew,1976,movie,"['Comedy', 'Drama', 'Romance']",6.9,96
1083,Chinese Roulette,1976,movie,"['Drama', 'Thriller']",7.3,95
1084,Jaanam Samjha Karo,1999,movie,"['Drama', 'Romance']",4.8,86
1085,You Can't Cheat an Honest Man,1939,movie,['Comedy'],7.1,161
1086,The Trench,1999,movie,"['Drama', 'History', 'War']",6.0,99
1087,Dead or Alive 2: Birds,2000,movie,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",6.8,15
1088,Barefoot Gen,1983,movie,"['Animation', 'Biography', 'Drama', 'History', 'War']",8.0,169
1089,Barbie and the Magic of Pegasus 3-D,2005,video movie,"['Animation', 'Family', 'Romance']",6.5,102
1090,Nowhere in Africa,2001,movie,"['Biography', 'Drama', 'History']",7.5,90
1091,The Pentagon Wars,1998,tv movie,"['Comedy', 'War']",7.3,87
1092,Take Care of My Cat,2001,movie,['Drama'],7.2,88
1093,Bad Timing/A Sensual Obsession,1980,movie,"['Drama', 'Mystery', 'Thriller']",7.0,74
1094,Whispering Corridors,1998,movie,"['Drama', 'Horror', 'Mystery', 'Thriller']",6.0,108
1095,Children of the Century,1999,movie,"['Biography', 'Drama', 'Romance']",6.4,175
1096,Black Scorpion II: Aftershock,1997,movie,"['Action', 'Crime', 'Fantasy', 'Sci-Fi']",4.1,189
1097,Satin Rouge,2002,movie,"['Drama', 'Musical', 'Romance']",6.7,101
1098,Legend of the Eight Samurai,1983,movie,"['Adventure', 'Drama', 'Fantasy', 'Romance']",6.5,136
1099,Hameshaa,1997,movie,"['Action', 'Drama', 'Romance']",5.3,93
1100,The Endless Summer 2,1994,movie,"['Documentary', 'Adventure', 'Sport']",7.5,112
1101,Deliver Us from Eva,2003,movie,"['Comedy', 'Drama', 'Romance']",6.1,95
1102,The Trouble with Girls,1969,movie,"['Comedy', 'History', 'Musical', 'Romance']",5.4,89
1103,Rehearsal for Murder,1982,tv movie,"['Drama', 'Mystery', 'Thriller']",6.9,97
1104,Outland,1981,movie,"['Action', 'Crime', 'Sci-Fi', 'Thriller', 'Western']",6.6,113
1105,The New Legend of Shaolin,1994,movie,"['Action', 'Adventure', 'Comedy', 'Drama', 'History', 'Romance']",6.4,74
1106,Molokai,1999,movie,"['Biography', 'Drama']",6.9,97
1107,Sleeping with the Enemy,1991,movie,"['Drama', 'Thriller']",6.3,131
1108,Visitor Q,2001,movie,"['Comedy', 'Drama', 'Horror', 'Thriller']",6.6,87
1109,Atlantis: Milo's Return,2003,video movie,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Sci-Fi']",5.1,150
1110,Sworn to Justice,1996,movie,"['Action', 'Drama', 'Thriller']",4.9,128
1111,The Lost Honor of Katharina Blum,1975,movie,"['Crime', 'Drama']",7.4,82
1112,It Came from Beneath the Sea,1955,movie,"['Horror', 'Sci-Fi']",6.0,81
1113,The Year Without a Santa Claus,1974,tv movie,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",7.7,87
1114,Running on Karma,2003,movie,"['Action', 'Drama', 'Thriller']",6.6,135
1115,My Summer of Love,2004,movie,"['Drama', 'Romance']",6.7,111
1116,Pyaar Ishq Aur Mohabbat,2001,movie,"['Drama', 'Musical', 'Romance']",4.1,172
1117,Dr Jekyll & Sister Hyde,1971,movie,"['Horror', 'Sci-Fi']",6.6,105
1118,The Devil Rides Out,1968,movie,['Horror'],7.0,100
1119,Seducing Doctor Lewis,2003,movie,['Comedy'],7.4,101
1120,Subway,1985,movie,['Thriller'],6.6,102
1121,Room at the Top,1959,movie,"['Drama', 'Romance']",7.5,246
1122,Original Dirty Pair: Project Eden,1987,movie,"['Animation', 'Action', 'Adventure', 'Comedy', 'Sci-Fi']",7.0,25
1123,Darkside Blues,1994,movie,"['Animation', 'Action', 'Drama', 'Fantasy', 'Horror', 'Mystery', 'Sci-Fi']",5.3,99
1124,Rodan,1956,movie,"['Horror', 'Sci-Fi']",6.3,118
1125,The Story of Jesus for Children,2000,video movie,"['Drama', 'Family']",5.8,275
1126,Salvatore Giuliano,1962,movie,"['Crime', 'Drama', 'History', 'Mystery']",7.4,93
1127,All the Little Animals,1998,movie,"['Adventure', 'Drama', 'Thriller']",6.9,60
1128,The Great Escape,1963,movie,"['Adventure', 'Drama', 'History', 'Thriller', 'War']",8.2,120
1129,Sword of the Valiant,1984,movie,"['Action', 'Adventure', 'Fantasy', 'Romance']",4.4,110
1130,Blue Collar Comedy Tour Rides Again,2004,movie,"['Comedy', 'Documentary']",7.1,272
1131,The Real World Movie: The Lost Season,2002,movie,['Comedy'],2.9,105
1132,Endangered Species,1982,movie,"['Drama', 'Mystery', 'Thriller']",5.9,84
1133,Dangerous Child,2001,tv movie,['Drama'],6.1,111
1134,The Hanging Garden,1997,movie,"['Drama', 'Romance']",6.9,92
1135,Lawrence of Arabia: The Battle for the Arab World,2003,tv movie,['Documentary'],8.0,103
1136,Guilty by Association,2003,video movie,"['Action', 'Crime', 'Drama']",2.4,101
1137,The Rutles: All You Need Is Cash,1978,tv movie,"['Comedy', 'Music']",7.3,24
1138,The Ghost of Frankenstein,1942,movie,"['Drama', 'Horror', 'Sci-Fi']",6.1,72
1139,Harry + Max,2004,movie,"['Drama', 'Romance']",5.5,163
1140,Georgy Girl,1966,movie,"['Comedy', 'Drama', 'Romance']",6.9,30
1141,Lawless Heart,2001,movie,"['Comedy', 'Drama', 'Romance']",6.7,102
1142,Wishmaster 2: Evil Never Dies,1999,video movie,"['Fantasy', 'Horror']",5.1,37
1143,Baise-moi,2000,movie,"['Crime', 'Drama', 'Thriller']",4.5,75
1144,Daria in 'Is It College Yet?',2002,tv movie,"['Animation', 'Comedy', 'Romance']",8.2,115
1145,Project Moon Base,1953,movie,['Sci-Fi'],3.2,92
1146,Hard Core Logo,1996,movie,"['Comedy', 'Drama', 'Music']",7.3,210
1147,Legion of the Dead,2005,video movie,"['Horror', 'Thriller']",2.7,104
1148,The Bird with the Crystal Plumage,1970,movie,"['Horror', 'Mystery', 'Thriller']",7.2,93
1149,The Girl Next Door,2004,movie,"['Comedy', 'Drama', 'Romance']",6.7,90
1150,Bus 174,2002,movie,"['Documentary', 'Crime']",7.8,58
1151,Unseen Evil 2,2004,video movie,"['Horror', 'Sci-Fi']",2.5,160
1152,The Land Before Time XI: Invasion of the Tinysauruses,2005,video movie,"['Animation', 'Adventure', 'Drama', 'Family', 'Musical']",5.7,60
